A股	A<s>gu2
行行出狀元	haang4<s>haang4<s>cat2<s>zaang6<s>jyun4
行貨	haang4<s>hu3
降龍伏虎	haang4<s>loeng4<s>foek6<s>hu2
行列	haang4<s>lyut5
行業	haang4<s>nip5
行市	haang4<s>si5
行話	haang4<s>waa6
行情	haang4<s>zing4
𫈰草	haap2<s>caau2
恰當	haap2<s>daang3
合縱	haap6<s>zoeng1
好啊	haau2<s>aa1
好呀	haau2<s>aa3
好吧	haau2<s>baa6
好辦	haau2<s>baan6
好比	haau2<s>bi2
好醜	haau2<s>cau2
好似	haau2<s>ci3
好處	haau2<s>cyu3
好歹	haau2<s>daai2
好低	haau2<s>dai1
好多	haau2<s>do1
好感	haau2<s>gaam2
好佮	haau2<s>gaap2
好敆	haau2<s>gaap2
好高	haau2<s>gaau1
好勁	haau2<s>ging3
好看	haau2<s>haan3
好合	haau2<s>haap6
好好吃	haau2<s>haau2<s>hik2
好好食	haau2<s>haau2<s>sik6
好好先生	haau2<s>haau2<s>slin1<s>siang1
好氣	haau2<s>hi3
好吃	haau2<s>hik2
好意	haau2<s>ji3
好遠	haau2<s>jyun5
好了	haau2<s>liu5
好命	haau2<s>ming6
好人	haau2<s>njan4
好肉剜瘡	haau2<s>njoek5<s>wun2<s>caang1
好事多磨	haau2<s>sai6<s>do1<s>mu4
好手	haau2<s>sau2
好食	haau2<s>sik6
好笑	haau2<s>sliu3
好說	haau2<s>syut2
好聽	haau2<s>ting1
好話	haau2<s>waa6
好壞	haau2<s>waai6
好玩	haau2<s>waan6
好自爲之	haau2<s>zi6<s>wai4<s>zi1
好像	haau2<s>ziang6
好轉	haau2<s>zyun2
好大喜功	haau3<s>daai6<s>hi2<s>goeng1
好高騖遠	haau3<s>gaau1<s>mu6<s>jyun5
好奇	haau3<s>gi4
好學	haau3<s>haak6
好客	haau3<s>hiak2
好行小慧	haau3<s>hiang4<s>sliu2<s>wai6
好逸惡勞	haau3<s>jat6<s>wu3<s>laau4
好勇鬥狠	haau3<s>joeng5<s>dau3<s>han2
效率	haau3<s>lat5
好尚	haau3<s>sang6
好生之德	haau3<s>siang1<s>zi1<s>dak2
好色	haau3<s>sik2
好勝	haau3<s>sing3
好爲人師	haau3<s>wai4<s>njan4<s>sai1
好惡	haau3<s>wu3
號啕	haau4<s>daau4
號叫	haau4<s>giu3
號起來	haau4<s>hi2<s>laai4
號哭	haau4<s>hoek2
號喪	haau4<s>slaang1
號兵	haau6<s>bing1
號稱	haau6<s>cing1
號角	haau6<s>gaak2
號令	haau6<s>ling6
號碼	haau6<s>maa5
號數	haau6<s>su3
號外	haau6<s>waai6
號召	haau6<s>ziu6
蹊徑	hai4<s>ging3
黑白相間	hak2<s>biak6<s>sliang1<s>gaan3
欽天監	ham1<s>tin1<s>gaam3
齦骨頭	han2<s>gwat2<s>dau4
很好	han2<s>haau2
齦書	han2<s>syu1
齦書本	han2<s>syu1<s>bun2
哼哧	hang1<s>ci1
哼唱	hang1<s>ciang3
哼歌	hang1<s>go1
哼哈	hang1<s>haa1
哼哈二將	hang1<s>haa1<s>nji6<s>ziang3
哼哼唧唧	hang1<s>hang1<s>zik2<s>zik2
哼唷	hang1<s>jo1
吭聲	hang1<s>sing1
哼聲	hang1<s>sing1
哼唧	hang1<s>zik2
炕麪包	hang3<s>min6<s>baau1
炕沙	hang3<s>saa1
衡量	hang4<s>liang6
瞌𥅻	hap3<s>coeng3
核彈	hat6<s>daan6
核桃	hat6<s>daau4
核桃酪	hat6<s>daau4<s>lu6
核桃露	hat6<s>daau4<s>lu6
核電站	hat6<s>din6<s>zaam6
核定	hat6<s>ding6
核動力	hat6<s>doeng6<s>lik5
核對	hat6<s>dui3
核反應堆	hat6<s>faan2<s>ing3<s>dui1
核能	hat6<s>nang4
核實	hat6<s>sat6
核心	hat6<s>slam1
核酸	hat6<s>slun1
核算	hat6<s>slun3
核查	hat6<s>zaa4
核裁軍	hat6<s>zaai4<s>gwan1
核准	hat6<s>zan2
核子	hat6<s>zi2
口吃	hau2<s>gat2
口供	hau2<s>goeng1
口號	hau2<s>haau6
口舌便給	hau2<s>sit6<s>bin4<s>kap2
後來居上	hau6<s>laai4<s>gyu1<s>sang6
稀少	hi1<s>siu2
起解	hi2<s>gaai3
喜好	hi2<s>haau3
起泡	hi2<s>paau3
汽車	hi3<s>ce1
氣量	hi3<s>liang6
戲弄	hi3<s>loeng6
氣泡	hi3<s>paau3
氣息奄奄	hi3<s>slik2<s>jim1<s>jim1
器仗	hi3<s>ziang6
器重	hi3<s>zoeng5
氣沮	hi3<s>zyu2
喀布爾	hiak2<s>bu3<s>nji5
喀秋莎	hiak2<s>cau1<s>saa1
喀喇沁	hiak2<s>laa3<s>sam3
喀拉汗國	hiak2<s>laai1<s>haan6<s>guk2
喀拉喀托火山	hiak2<s>laai1<s>hiak2<s>taak2<s>hu2<s>saan1
喀拉拉邦	hiak2<s>laai1<s>laai1<s>baang1
喀麥隆	hiak2<s>miak5<s>loeng4
喀納斯湖	hiak2<s>naap5<s>sli1<s>hu4
喀爾巴阡山脈	hiak2<s>nji5<s>baa1<s>cin1<s>saan1<s>miak5
喀山	hiak2<s>saan1
喀什	hiak2<s>sap6
喀什地區	hiak2<s>sap6<s>di6<s>kyu1
喀什噶爾	hiak2<s>sap6<s>gaa1<s>nji5
喀什市	hiak2<s>sap6<s>si5
喀斯特	hiak2<s>sli1<s>dak6
喀斯特地貌	hiak2<s>sli1<s>dak6<s>di6<s>maau6
喀土穆	hiak2<s>tu2<s>moek5
鄉間	hiang1<s>gaan1
響應	hiang2<s>ing3
行草	hiang4<s>caau2
行刺	hiang4<s>ci3
行動	hiang4<s>doeng6
行文	hiang4<s>fan4
行期	hiang4<s>gi4
行徑	hiang4<s>ging3
行宮	hiang4<s>goeng1
行軍	hiang4<s>gwan1
行刑	hiang4<s>hing4
行賄	hiang4<s>hui2
行醫	hiang4<s>ji1
行轅	hiang4<s>jyun4
行遠自邇	hiang4<s>jyun5<s>zi6<s>nji5
行樂	hiang4<s>laak5
行禮	hiang4<s>lai5
行李	hiang4<s>li5
行令	hiang4<s>ling6
行獵	hiang4<s>lip5
行旅	hiang4<s>lyu5
行萬里路	hiang4<s>maan6<s>li5<s>lu6
行囊	hiang4<s>naang4
行人	hiang4<s>njan4
行騙	hiang4<s>pin3
行聘	hiang4<s>ping3
行駛	hiang4<s>sai2
行事	hiang4<s>sai6
行屍走肉	hiang4<s>si1<s>zau2<s>njoek5
行時	hiang4<s>si4
行商	hiang4<s>siang1
行省	hiang4<s>siang2
行色	hiang4<s>sik2
行星	hiang4<s>sling1
行書	hiang4<s>syu1
行善	hiang4<s>syun6
行爲	hiang4<s>wai4
行雲流水	hiang4<s>wan4<s>lau4<s>sui2
行營	hiang4<s>wing4
行裝	hiang4<s>zaang1
行走	hiang4<s>zau2
行酒	hiang4<s>zau2
行酒令	hiang4<s>zau2<s>ling6
行者	hiang4<s>ze2
行止	hiang4<s>zi2
行將	hiang4<s>ziang1
行將就木	hiang4<s>ziang1<s>zau6<s>moek5
行政	hiang4<s>zing3
行程	hiang4<s>zing4
行蹤	hiang4<s>zoeng1
吃嗆	hik2<s>ciang1
吃飯	hik2<s>faan6
吃飯嗆着	hik2<s>faan6<s>ciang1<s>ziak6
易筋經	hik2<s>gan1<s>ging1
易經	hik2<s>ging1
易手	hik2<s>sau2
吃着不盡	hik2<s>ziak2<s>bat2<s>zan6
吃著不盡	hik2<s>ziak2<s>bat2<s>zan6
易傳	hik2<s>zyun6
興辦	hing1<s>baan6
興兵	hing1<s>bing1
興奮	hing1<s>fan5
興風作浪	hing1<s>foeng1<s>zaak2<s>laang6
輕騎兵	hing1<s>gi4<s>bing1
輕騎	hing1<s>gi6
興學	hing1<s>haak6
興起	hing1<s>hi2
興亡	hing1<s>hung4
興旺	hing1<s>hung6
興許	hing1<s>hyu2
輕而易舉	hing1<s>ji4<s>ji6<s>gyu2
興利除弊	hing1<s>li6<s>zyu4<s>bi6
興隆	hing1<s>loeng4
興滅繼絕	hing1<s>mit5<s>gi3<s>zyut6
興師動眾	hing1<s>sai1<s>doeng6<s>zoeng3
興師動衆	hing1<s>sai1<s>doeng6<s>zoeng3
興盛	hing1<s>sing6
輕率	hing1<s>slat2
興修	hing1<s>slau1
興衰	hing1<s>sui1
輕重	hing1<s>zoeng5
興訟	hing1<s>zoeng6
興沖沖	hing3<s>coeng1<s>coeng1
興趣	hing3<s>cyu3
興頭	hing3<s>dau4
興高彩烈	hing3<s>gaau1<s>caai2<s>lyut5
興味	hing3<s>mi6
杏仁酪	hing3<s>njan4<s>lu6
杏仁露	hing3<s>njan4<s>lu6
杏脯	hing3<s>pu2<s>
興會	hing3<s>wai6
杏核	hing3<s>wat6
興致	hing3<s>zi3
興致勃勃	hing3<s>zi3<s>but6<s>but6
型號	hing4<s>haau6
挾帶	hip2<s>daai3
協調	hip2<s>diu4
儌倖	hiu2<s>hiang6
徼倖	hiu2<s>hiang6
荷包	ho4<s>baau1
河埠	ho4<s>bu6
荷盾	ho4<s>dan6
嗬哆	ho4<s>de3
荷芰	ho4<s>gi6
荷蘭豆	ho4<s>laan1<s>dau6
荷蘭	ho4<s>laan4
荷馬史詩	ho4<s>maa5<s>sai2<s>si1
河鮮	ho4<s>slyun1
荷花	ho4<s>waa1
荷珠	ho4<s>zyu1
荷槍實彈	ho6<s>ciang1<s>sat6<s>daan6
荷戴	ho6<s>daai3
荷擔	ho6<s>daam1
荷禮	ho6<s>lai5
荷載	ho6<s>zaai3
荷鋤	ho6<s>zo4
荷重	ho6<s>zoeng5
哭哭咧咧	hoek2<s>hoek2<s>le3<s>le3
哭喪	hoek2<s>slaang1
鵠候	hoek6<s>hau6
鵠立	hoek6<s>lap5
鵠面鳥形	hoek6<s>min6<s>niu5<s>hing4
鵠望	hoek6<s>mung6
鵠志	hoek6<s>zi3
兇惡	hoeng1<s>aak2
胸脯	hoeng1<s>bu4
倥侗	hoeng1<s>doeng4
空間	hoeng1<s>gaan1
空降	hoeng1<s>gaang3
空子	hoeng1<s>zi2
哄騙	hoeng2<s>pin3
倥傯	hoeng2<s>zoeng2
空缺	hoeng3<s>kyut2
鴻鵠	hoeng4<s>hoek6
紅暈	hoeng4<s>wan6
款識	hon2<s>zi3
呼號	hu1<s>haau4
虎賁	hu2<s>ban1
夥計	hu2<s>gi3
夥記	hu2<s>gi3
火炕	hu2<s>kaang3
苦難	hu2<s>naan6
火種	hu2<s>zoeng2
貨郎擔	hu3<s>laang4<s>daam3
狐假虎威	hu4<s>gaa2<s>hu2<s>wai1
瓠蘆	hu4<s>lu4
瓠肥	hu6<s>fi4
瓠果	hu6<s>go2
瓠瓜	hu6<s>gwaa1
互聯網+	hu6<s>lin4<s>mung5<s>gaa1
瓠犀	hu6<s>slai1
互相	hu6<s>sliang1
互爲犄角	hu6<s>wai4<s>gi1<s>gaak2
瓠子	hu6<s>zi2
晦澀	hui3<s>sap2
瓠落	huk6<s>laak5
歡樂	hun1<s>laak5
黃驃	hung4<s>biu1
黃驃馬	hung4<s>biu1<s>maa5
黃苔	hung4<s>daai4
王冠	hung4<s>gun1
王侯將相	hung4<s>hau4<s>ziang3<s>sliang3
黃種人	hung4<s>zoeng2<s>njan4
王天下	hung6<s>tin1<s>jaa6
闊少	hut2<s>siu3
虛與委蛇	hyu1<s>jyu5<s>wai2<s>ji4
去處	hyu3<s>cyu3
去玩	hyu3<s>waan6
圈餅	hyun1<s>bing2
圈點	hyun1<s>dem2
圈地	hyun1<s>di6
圈地運動	hyun1<s>di6<s>wan6<s>doeng6
圈定	hyun1<s>ding6
圈圈	hyun1<s>hyun1
圈圈點點	hyun1<s>hyun1<s>dem2<s>dem2
圈閱	hyun1<s>jyut5
圈內	hyun1<s>nui6
圈聲	hyun1<s>sing1
圈數	hyun1<s>su3
圈套	hyun1<s>taau3
喧嘩	hyun1<s>waa1
圈外	hyun1<s>waai6
圈子	hyun1<s>zi2
圈佔	hyun1<s>zim3
勸善沮惡	hyun3<s>syun6<s>zyu2<s>aak2
血泡	hyut2<s>paau1
啞啞	iak2<s>iak2
啞然	iak2<s>jyun4
啞然而笑	iak2<s>jyun4<s>ji4<s>sliu3
啞然失笑	iak2<s>jyun4<s>sat2<s>sliu3
益處	ik2<s>cyu3
應當	ing1<s>daang1
應該	ing1<s>gaai1
應許	ing1<s>hyu2
應有盡有	ing1<s>jau5<s>zan6<s>jau5
應然	ing1<s>jyun4
應承	ing1<s>sing4
影視圈	ing2<s>si6<s>hyun1
應變	ing3<s>bin3
應答如流	ing3<s>daap2<s>jyu4<s>lau4
應對	ing3<s>dui3
應付	ing3<s>fu3
應付自如	ing3<s>fu3<s>zi6<s>jyu4
應屆	ing3<s>gaai3
應景	ing3<s>ging2
應口	ing3<s>hau2
應和	ing3<s>ho4
應邀	ing3<s>jiu1
應用	ing3<s>joeng6
應用文	ing3<s>joeng6<s>fan4
應考	ing3<s>kaau2
應卯	ing3<s>maau5
應名	ing3<s>ming4
應名點卯	ing3<s>ming4<s>dem2<s>maau5
應命	ing3<s>ming6
應門	ing3<s>mun4
應諾	ing3<s>naak5
應驗	ing3<s>nim6
應試	ing3<s>si3
應時	ing3<s>si4
應聲	ing3<s>sing1
應聲蟲	ing3<s>sing1<s>zoeng4
應允	ing3<s>wan5
應運	ing3<s>wan6
應運而生	ing3<s>wan6<s>ji4<s>siang1
應酬	ing3<s>zau4
應戰	ing3<s>zin3
應徵	ing3<s>zing1
應接不暇	ing3<s>zip2<s>bat2<s>jaa6
應召	ing3<s>ziu6
應召女郎	ing3<s>ziu6<s>nyu5<s>laang4
雅興	jaa5<s>hing3
下不着地	jaa6<s>bat2<s>ziak6<s>di6
下不著地	jaa6<s>bat2<s>ziak6<s>di6
夜間	jaa6<s>gaan1
下降	jaa6<s>gaang3
下陰入調	jaa6<s>jam1<s>jap5<s>diu6
下陽入調	jaa6<s>jiang4<s>jap5<s>diu6
下乘	jaa6<s>sing6
下自成蹊	jaa6<s>zi6<s>sing4<s>hai4
瞎咧咧	jaat2<s>le3<s>le3
陰平調	jam1<s>bing4<s>diu6
陰錯陽差	jam1<s>co3<s>jiang4<s>caa1
音調	jam1<s>diu6
陰去調	jam1<s>hyu3<s>diu6
陰入調	jam1<s>jap5<s>diu6
音樂	jam1<s>laak5
音量	jam1<s>liang6
陰𧏾	jam1<s>nik5
陰上調	jam1<s>sang5<s>diu6
吟哦	jam4<s>ngo4
引吭高歌	jan5<s>haang4<s>gaau1<s>go1
休假	jau1<s>kaa3
優勝劣敗	jau1<s>sing3<s>lyut5<s>baai6
郵差	jau4<s>caai1
油坊	jau4<s>fung4
游騎	jau4<s>gi6
遊騎	jau4<s>gi6
油煙嗆人	jau4<s>jyun1<s>ciang3<s>njan4
遊玩	jau4<s>waan6
柔姿車	jau4<s>zi1<s>ce1
有吧	jau5<s>baa6
友好	jau5<s>haau2
有厚望焉	jau5<s>hau5<s>mung6<s>jin1
有所裨益	jau5<s>slo2<s>bai1<s>ik2
有靦面目	jau5<s>tin2<s>min6<s>moek5
有種	jau5<s>zoeng2
右轉	jau6<s>zyun2
爺爺	je4<s>je5
野狐禪	je5<s>hu4<s>sim4
咿啞	ji1<s>aa1
依傍	ji1<s>baang6
衣不稱身	ji1<s>bat2<s>cing3<s>san1
衣縫	ji1<s>foeng6
衣冠	ji1<s>gun1
衣籠	ji1<s>loeng5
依山傍水	ji1<s>saan1<s>baang6<s>sui2
衣着	ji1<s>ziak2
衣著	ji1<s>ziak2
依仗	ji1<s>ziang6
齮齕	ji2<s>hat6
倚仗	ji2<s>ziang6
咿呦	ji3<s>jau1
而且	ji4<s>ce2
移風易俗	ji4<s>foeng1<s>hik2<s>sloek6
而今	ji4<s>gam1
栘𣐿	ji4<s>ji1
𧦧𧦧	ji4<s>ji4
姨姥姥	ji4<s>laau5<s>laau5
以一當十	ji5<s>at2<s>daang3<s>sap6
迤北	ji5<s>bak2
迤東	ji5<s>doeng1
以己度人	ji5<s>gi2<s>daak6<s>njan4
迤向	ji5<s>hiang3
迤邐	ji5<s>li5
迤南	ji5<s>naam4
以弱勝強	ji5<s>ngiak5<s>sing3<s>giang4
迤西	ji5<s>slai1
易學易懂	ji6<s>haak6<s>ji6<s>doeng2
易如反掌	ji6<s>jyu4<s>faan2<s>ziang2
約分	jiak2<s>fan1
約摸	jiak2<s>moek2
約莫	jiak2<s>moek2
藥鋪	jiak5<s>pu3
鑰匙	jiak5<s>si4
陽平調	jiang4<s>bing4<s>diu6
羊圈	jiang4<s>gyun6
陽去調	jiang4<s>hyu3<s>diu6
陽入調	jiang4<s>jap5<s>diu6
陽上調	jiang4<s>sang5<s>diu6
揚長避短	jiang4<s>ziang4<s>bi6<s>dun2
養尊處優	jiang5<s>zun1<s>cyu2<s>jau1
奄奄	jim1<s>jim1
奄奄一息	jim1<s>jim1<s>at2<s>slik2
奄忽	jim2<s>fat2
奄有	jim2<s>jau5
奄有四方	jim2<s>jau5<s>sli3<s>fung1
奄然	jim2<s>jyun4
厭惡	jim3<s>wu3
簷溜	jim4<s>lau6
焉得	jin1<s>dak2
焉得虎子	jin1<s>dak2<s>hu2<s>zi2
焉用	jin1<s>joeng6
焉能如此	jin1<s>nang4<s>jyu4<s>ci2
焉能治之	jin4<s>nang4<s>zi6<s>zi1
熒屏	jing4<s>bing4
要求	jiu1<s>gau4
要挾	jiu1<s>hip2
要約	jiu1<s>jiak2
要譽	jiu1<s>jyu6
要盟	jiu1<s>mang4
要隘	jiu3<s>aai3
要衝	jiu3<s>coeng1
要道	jiu3<s>daau6
要點	jiu3<s>dem2
要端	jiu3<s>dun1
要犯	jiu3<s>faam6
要飯	jiu3<s>faan6
要緊	jiu3<s>gan2
要強	jiu3<s>giang4
要件	jiu3<s>gyun6
要害	jiu3<s>haai6
要好	jiu3<s>haau2
要訣	jiu3<s>kyut2
要略	jiu3<s>liak5
要領	jiu3<s>ling5
要命	jiu3<s>ming6
要人	jiu3<s>njan4
要言不煩	jiu3<s>njyun4<s>bat2<s>faan4
要塞	jiu3<s>saai3
要事	jiu3<s>sai6
要是	jiu3<s>si6
要素	jiu3<s>slu3
要津	jiu3<s>zan1
要之	jiu3<s>zi1
要旨	jiu3<s>zi2
要職	jiu3<s>zik2
要錢	jiu3<s>zin4
容易	joeng4<s>ji6
勇冠三軍	joeng5<s>gun3<s>slaam1<s>gwan1
用處	joeng6<s>cyu3
用詞不當	joeng6<s>zi4<s>bat2<s>daang3
噢咻	jyu2<s>jau1
予一人	jyu4<s>at2<s>njan4
予取予求	jyu4<s>cyu2<s>jyu4<s>gau4
于闐	jyu4<s>din4
于飛	jyu4<s>fi1
于歸	jyu4<s>gwai1
餘勇可賈	jyu4<s>joeng5<s>ko2<s>gu2
娛樂圈	jyu4<s>laak5<s>hyun1
輿論大嘩	jyu4<s>lan6<s>daai6<s>waa1
愚氓	jyu4<s>man4
予聖	jyu4<s>sing3
予小子	jyu4<s>sliu2<s>zi2
予智	jyu4<s>zi3
語焉不詳	jyu5<s>jin4<s>bat2<s>ziang4
雨褸	jyu5<s>lau1
羽扇綸巾	jyu5<s>sin3<s>gwaan1<s>gan1
遇難	jyu6<s>naan6
身毒	jyun1<s>doek2
燕京	jyun1<s>ging1
燕國	jyun1<s>guk2
咽喉	jyun1<s>hau4
燕山	jyun1<s>saan1
閼氏	jyun1<s>zi1
燕趙	jyun1<s>ziu6
鵷鶵	jyun1<s>zyu4
鵷𩿿	jyun1<s>zyu4
燕雀	jyun3<s>ciak2
燕雀處堂	jyun3<s>ciak2<s>cyu2<s>daang4
燕雀相賀	jyun3<s>ciak2<s>sliang1<s>ho6
燕妒鶯慚	jyun3<s>du6<s>ing1<s>zaam4
燕好	jyun3<s>haau2
咽氣	jyun3<s>hi3
咽苦吐甜	jyun3<s>hu2<s>tu3<s>dim4
燕語鶯聲	jyun3<s>jyu5<s>ing1<s>sing1
燕侶	jyun3<s>lyu5
燕尾服	jyun3<s>mi5<s>foek6
燕麥	jyun3<s>miak5
燕爾	jyun3<s>nji5
燕窩	jyun3<s>o1
燕巢幕上	jyun3<s>zaau4<s>moek5<s>sang6
燕子	jyun3<s>zi2
圓圈	jyun4<s>hyun1
圓溜	jyun4<s>liu1
原子彈	jyun4<s>zi2<s>daan6
元朝	jyun4<s>ziu4
媛德	jyun6<s>dak2
媛女	jyun6<s>nyu5
咽泣	jyut2<s>lap3
喀吧	kaa1<s>baa1
喀嚓	kaa1<s>caat2
喀噠	kaa1<s>daat6
咖啡	kaa1<s>fi1
咖啡因	kaa1<s>fi1<s>an1
咖啡色	kaa1<s>fi1<s>sik2
卡拉OK	kaa1<s>laa1<s>OK
假期	kaa3<s>gi4
旮旯	kaa3<s>laa3
假日	kaa3<s>njat5
概要	kaai3<s>jiu3
咯痰	kaak3<s>daam4
咯血	kaak3<s>hyut2
咯魚翅	kaak3<s>njyu4<s>ci3
炕頭	kaang3<s>dau4
炕几	kaang3<s>gi1
炕床	kaang3<s>saang4
炕牀	kaang3<s>saang4
炕枕	kaang3<s>zam2
炕桌	kaang3<s>zuk2
考核	kaau2<s>hat6
𥬯䇭	kaau2<s>laau5
稽核	kai1<s>hat6
蹊蹺	kai1<s>kiu2
可汗	kak2<s>haan4
禁穿	kam1<s>cyun1
禁冷	kam1<s>liang5
禁磨	kam1<s>mu4
禁熱	kam1<s>njit5
禁受	kam1<s>sau6
蠄瘸	kam4<s>gwe4
翹翹	keu4<s>keu3
崎嶇	ki1<s>kyu1
崎嶇不平	ki1<s>kyu1<s>bat2<s>bing4
亟請	ki3<s>cing2
亟經	ki3<s>ging1
亟來問訊	ki3<s>laai4<s>man6<s>slan3
覺察	kiak2<s>caat2
覺得	kiak2<s>dak2
覺今是而昨非	kiak2<s>gam1<s>si6<s>ji4<s>zaak6<s>fi1
覺醒	kiak2<s>sling2
腔調	kiang1<s>diu6
強辯	kiang2<s>bin6
強出頭	kiang2<s>cat2<s>dau4
強諫	kiang2<s>gaan3
強求	kiang2<s>gau4
強顏歡笑	kiang2<s>njaan4<s>hun1<s>sliu3
強人所難	kiang2<s>njan4<s>slo2<s>naan4
強使	kiang2<s>sai2
強詞奪理	kiang2<s>zi4<s>dut6<s>li5
詰問	kit2<s>man6
詰難	kit2<s>naan6
詰責	kit2<s>ziak2
坷垃	ko1<s>laa1
𪽇𤰚	ko1<s>laa1
可圈可點	ko2<s>hyun1<s>ko2<s>dem2
可惡	ko2<s>wu3
曲調	koek2<s>diu6
曲肱而枕	koek2<s>gwang1<s>ji4<s>zam3
曲率	koek2<s>lat5
孔雀開屏	koeng2<s>ciak2<s>haai1<s>bing4
骷髏	ku1<s>lau4
骷髏頭	ku1<s>lau4<s>dau4
傀儡	kui2<s>lui5
傀儡皇帝	kui2<s>lui5<s>hung4<s>dai3
傀儡政權	kui2<s>lui5<s>zing3<s>gyun4
擴散	kuk2<s>slaan3
礦藏	kwaang3<s>zaang4
虧空	kwai1<s>hoeng3
虧蝕	kwai1<s>sik6
虧折	kwai1<s>syut6
筠連	kwan1<s>lin4
筠連縣	kwan1<s>lin4<s>jyun6
困難	kwan3<s>naan4
區分	kyu1<s>fan1
拘泥	kyu1<s>ni6
缺少	kyut2<s>siu2
喇叭	laa2<s>baa2
喇嘛	laa2<s>maa3
癩皮狗	laai3<s>bi4<s>gau2
癩病	laai3<s>bing6
癩瘡	laai3<s>caang1
癩蛤蟆	laai3<s>haa4<s>maa4
攋屎	laai5<s>si2
落吧	laak5<s>baa1
樂不可支	laak5<s>bat2<s>ko2<s>zi1
樂不思蜀	laak5<s>bat2<s>sli1<s>soek6
樂此不疲	laak5<s>ci2<s>bat2<s>bi4
樂趣	laak5<s>cyu3
樂壇	laak5<s>daan4
樂府	laak5<s>fu2
樂極生悲	laak5<s>gik6<s>siang1<s>bai1
樂觀	laak5<s>gun1
樂器	laak5<s>hi3
樂音	laak5<s>jam1
樂意	laak5<s>ji3
樂園	laak5<s>jyun4
樂曲	laak5<s>koek2
樂理	laak5<s>li5
樂莫大焉	laak5<s>moek5<s>daai6<s>jin4
樂譜	laak5<s>pu2
樂事	laak5<s>sai6
落魄	laak5<s>taak2
樂天知命	laak5<s>tin1<s>zi1<s>ming6
樂土	laak5<s>tu2
樂章	laak5<s>ziang1
襤褸	laam4<s>lyu5
檻車	laam6<s>ce1
檻送	laam6<s>sloeng3
欄杆	laan4<s>gaan2
懶散	laan5<s>slaan2
狼狽相	laang4<s>bui3<s>sliang3
鋃鐺	laang4<s>daang1
狼吞虎咽	laang4<s>tan1<s>hu2<s>jyun3
狼藉	laang4<s>zik6
垃圾	laap5<s>slaap2
拉颯	laap5<s>slaap2
垃雜	laap5<s>zaap6
拉雜	laap5<s>zaap6
瘌痢	laat5<s>li6
癩痢	laat5<s>li6
鬎鬁	laat5<s>li6
剌謬	laat5<s>mau6
撈一把	laau1<s>at2<s>baa2
撈一撈	laau1<s>at2<s>laau1
撈本	laau1<s>bun2
撈世界	laau1<s>si3<s>gaai3
撈仔	laau1<s>zaai2
撈錢	laau1<s>zin4
嘮叨	laau4<s>daau1
撈稻草	laau4<s>daau6<s>caau2
撈起	laau4<s>hi2
勞燕分飛	laau4<s>jyun3<s>fan1<s>fi1
嘮嘮叨叨	laau4<s>laau4<s>daau1<s>daau1
撈漉	laau4<s>loek5
勞累	laau4<s>lui6
撈摸	laau4<s>mo1
撈魚	laau4<s>njyu4
老調重彈	laau5<s>diu6<s>zoeng4<s>daan4
姥爺	laau5<s>je4
姥姥	laau5<s>laau5
老孃	laau5<s>niang3
姥娘	laau5<s>niang4
姥鯊	laau5<s>saa1
老成持重	laau5<s>sing4<s>zi4<s>zoeng5
老少	laau5<s>siu3
潦水	laau5<s>sui2
老將	laau5<s>ziang3
戾着腳	lai5<s>ziak6<s>giak2
肋膜	lak5<s>moek5
林家翹	lam4<s>gaa1<s>giu4
稟生	lam5<s>siang1
論處	lan6<s>cyu2
立方米	lap5<s>fung1<s>mai5
褸裙	lau1<s>gwan4
褸尾	lau1<s>mi5
摟搜	lau1<s>slau2
摟財	lau1<s>zaai4
褸席	lau1<s>zik6
摟錢	lau1<s>zin4
樓觀	lau4<s>gun3
劉姥姥	lau4<s>laau5<s>laau5
琉璃	lau4<s>li4
流量	lau4<s>liang6
嘍囉	lau4<s>lo4
流氓	lau4<s>maang4
流徵	lau4<s>zi2
流傳	lau4<s>zyun4
摟抱	lau5<s>baau5
摟着	lau5<s>ziak6
溜窗縫	lau6<s>caang1<s>foeng6
溜縫	lau6<s>foeng6
溜口	lau6<s>hau2
溜糟	lau6<s>zaau1
溜子	lau6<s>zi2
咧咧	le3<s>le3
褦襶	le5<s>de2
哩啦	li1<s>laa1
哩哩啦啦	li1<s>li1<s>laa1<s>laa1
哩哩囉囉	li1<s>li1<s>lo1<s>lo1
籬笆柵	li4<s>baa1<s>ciak2
離間	li4<s>gaan3
罹難	li4<s>naan6
理當如此	li5<s>daang1<s>jyu4<s>ci2
裏間	li5<s>gaan1
理應	li5<s>ing1
里弄	li5<s>loeng6
李娜	li5<s>naa4
利害	li6<s>haai6
利率	li6<s>lat5
靚仔	liang3<s>zaai2
量杯	liang4<s>bui1
量度	liang4<s>daak6
量具	liang4<s>gyu6
量血壓	liang4<s>hyut2<s>aat2
量米	liang4<s>mai5
量體溫	liang4<s>tai2<s>wan1
量體重	liang4<s>tai2<s>zoeng5
量長短	liang4<s>ziang4<s>dun2
兩磅	liang5<s>baang6
兩馱	liang5<s>do6
兩間	liang5<s>gaan1
兩行	liang5<s>haang4
兩米	liang5<s>mai5
兩泡尿	liang5<s>paau1<s>niu6
兩疋	liang5<s>pat2
兩鋪	liang5<s>pu1
兩聽	liang5<s>ting3
兩種	liang5<s>zoeng2
兩轉	liang5<s>zyun3
