A股	A<s>gu2
耳膜	ji5<s>mok6
以南	ji5<s>naam4
迤南	ji5<s>naam4
以外	ji5<s>ngoi6
以內	ji5<s>nui6
耳屎	ji5<s>si2
以西	ji5<s>slai1
迤西	ji5<s>slai1
以上	ji5<s>soeng6
以爲	ji5<s>wai4
耳環窿	ji5<s>wen4<s>lung1
耳挖	ji5<s>wet3
耳仔	ji5<s>zai2
耳崽	ji5<s>zai2
耳墜	ji5<s>zui6
耳珠	ji5<s>zyu1
二十一	ji6<s>aa6<s>jat1
二十二	ji6<s>aa6<s>ji6
二錢	ji6<s>cin4
二花面	ji6<s>faa1<s>min6
二婚	ji6<s>fan1
二分之	ji6<s>fan6<s>zi1
二伏	ji6<s>fuk6
二哥	ji6<s>go1
二下	ji6<s>haa5
二氣	ji6<s>hi3
二氣來	ji6<s>hi3<s>lai4
義學	ji6<s>hok6
易學易懂	ji6<s>hok6<s>ji6<s>dung2
二號	ji6<s>hu6
二號米	ji6<s>hu6<s>mai5
二一	ji6<s>jat1
二二	ji6<s>ji6
易燃物	ji6<s>jin4<s>mat6
易如反掌	ji6<s>jyu4<s>faan2<s>zoeng2
二月初二	ji6<s>jyut6<s>co1<s>ji6
二兩	ji6<s>loeng2
二樑	ji6<s>loeng4
二佬	ji6<s>lu2
肄業	ji6<s>nip6
二腦	ji6<s>nu5
二十	ji6<s>sap6
二手貨	ji6<s>sau2<s>fo3
二手指	ji6<s>sau2<s>zi2
二四有棘	ji6<s>sli3<s>jau5<s>kik1
二仔	ji6<s>zai2
二崽	ji6<s>zai2
二指	ji6<s>zi2
益處	jik1<s>cyu3
易筋經	jik6<s>gan1<s>ging1
易經	jik6<s>ging1
易手	jik6<s>sau2
易傳	jik6<s>zyun6
閹雞	jim1<s>gai1
閹狗	jim1<s>gau2
奄奄	jim1<s>jim1
奄奄一息	jim1<s>jim1<s>jat1<s>slik1
閹馬	jim1<s>maa5
㤿憸	jim1<s>zim1
閹豬	jim1<s>zyu1
奄忽	jim2<s>fat1
奄有	jim2<s>jau5
奄有四方	jim2<s>jau5<s>sli3<s>fong1
奄然	jim2<s>jin4
演員	jim2<s>jyun4
厭惡	jim3<s>wu3
鹽罌	jim4<s>aang1
嫌七嫌八	jim4<s>cat1<s>jim4<s>bet3
嚴重	jim4<s>cung5
鹽鹼地	jim4<s>gen2<s>di6
鹽焗雞	jim4<s>guk6<s>gai1
嚴厲	jim4<s>lai6
閻羅王	jim4<s>lo4<s>wong4
檐蛇	jim4<s>se4
鹽豉	jim4<s>si6
芫荽	jim4<s>slai1
染料	jim5<s>liu2
染衫鋪	jim5<s>saam1<s>pu3
煙塵	jin1<s>can4
焉得	jin1<s>dak1
菸袋	jin1<s>doi6
煙花	jin1<s>faa1
菸灰	jin1<s>fui1
燕京	jin1<s>ging1
燕國	jin1<s>gok3
菸骨	jin1<s>gwat1
菸盒	jin1<s>hap6
咽喉	jin1<s>hau4
焉焉韌韌	jin1<s>jin1<s>ngan6<s>ngan6
菸葉	jin1<s>jip6
焉用	jin1<s>jung6
煙煤	jin1<s>mui4
焉能	jin1<s>nang4
焉韌	jin1<s>ngan6
燕山	jin1<s>saan1
煙士	jin1<s>si2
菸屎	jin1<s>si2
煙通	jin1<s>tung1
菸筒	jin1<s>tung4
菸筒斗	jin1<s>tung4<s>dau2
煙仔	jin1<s>zai2
煙崽	jin1<s>zai2
菸仔	jin1<s>zai2
菸崽	jin1<s>zai2
胭脂	jin1<s>zi1
閼氏	jin1<s>zi1
燕趙	jin1<s>ziu6
菸嘴	jin1<s>zui2
燕巢幕上	jin3<s>caau4<s>mok6<s>soeng6
燕雀	jin3<s>coek3
燕雀處堂	jin3<s>coek3<s>cyu5<s>tong4
燕雀相賀	jin3<s>coek3<s>sloeng1<s>ho6
燕妒鶯慚	jin3<s>du6<s>ang1<s>caam4
咽苦吐甜	jin3<s>fu2<s>tu3<s>tim4
咽氣	jin3<s>hi3
燕好	jin3<s>hu2
燕爾	jin3<s>ji5
燕語鶯聲	jin3<s>jyu5<s>ang1<s>seng1
燕侶	jin3<s>lyu5
燕麥	jin3<s>mak6
燕尾服	jin3<s>mi5<s>fuk6
燕窩	jin3<s>wo1
燕子領	jin3<s>zi2<s>leng5
言傳身教	jin4<s>cyun4<s>san1<s>gaau3
燃料	jin4<s>liu2
焉能治之	jin4<s>nang4<s>zi6<s>zi1
言聽計從	jin4<s>teng1<s>gai3<s>cung4
言爲心聲	jin4<s>wai4<s>slam1<s>seng1
蜆蟲	jin6<s>cung4
應當	jing1<s>dong1
應份	jing1<s>fan6
鸚哥	jing1<s>go1
應該	jing1<s>goi1
應許	jing1<s>hyu2
應有盡有	jing1<s>jau5<s>zan6<s>jau5
應然	jing1<s>jin4
英兩	jing1<s>loeng2
鸚鵡	jing1<s>mu5
應承	jing1<s>sing4
影視圈	jing2<s>si6<s>hyun1
影相	jing2<s>sloeng3
影相鋪	jing2<s>sloeng3<s>pu3
應變	jing3<s>bin3
應酬	jing3<s>cau4
應答如流	jing3<s>daap3<s>jyu4<s>lau4
應對	jing3<s>dui3
應付	jing3<s>fu6
應屆	jing3<s>gaai3
應景	jing3<s>ging2
應考	jing3<s>haau2
應口	jing3<s>hau2
應邀	jing3<s>jiu1
應用	jing3<s>jung6
應用文	jing3<s>jung6<s>man4
應卯	jing3<s>maau5
應名	jing3<s>ming4
應名點卯	jing3<s>ming4<s>dim2<s>maau5
應命	jing3<s>ming6
應門	jing3<s>mun4
應驗	jing3<s>nim6
應諾	jing3<s>nok6
應聲	jing3<s>seng1
應聲蟲	jing3<s>seng1<s>cung4
應試	jing3<s>si3
應時	jing3<s>si4
應允	jing3<s>wan5
應運	jing3<s>wan6
應運而生	jing3<s>wan6<s>ji4<s>saang1
應和	jing3<s>wo4
應戰	jing3<s>zin3
應徵	jing3<s>zing1
應接不暇	jing3<s>zip3<s>bat1<s>haa6
應召	jing3<s>ziu6
應召女郎	jing3<s>ziu6<s>nyu5<s>long4
迎親	jing4<s>can1
螢火蟲	jing4<s>fo2<s>cung4
型號	jing4<s>hu6
熒屏	jing4<s>ping4
迎頭趕上	jing4<s>tau4<s>gon2<s>soeng5
認得	jing6<s>dak1
認生	jing6<s>saang1
認識	jing6<s>sik1
咽泣	jit3<s>jap1
熱天	jit5<s>tin1
熱坺坺	jit6<s>baat6<s>baat6
熱炦炦	jit6<s>baat6<s>baat6
熱頭大	jit6<s>dau4<s>daai6
熱痱	jit6<s>fi2
熱氣	jit6<s>hi3
熱辣辣	jit6<s>laat6<s>laat6
熱鬧	jit6<s>naau6
熱水	jit6<s>sui2
熱水袋	jit6<s>sui2<s>doi6
熱頭	jit6<s>tau4
熱頭戴暀	jit6<s>tau4<s>daai3<s>gwang6
熱頭戴箍	jit6<s>tau4<s>daai3<s>ku1
熱頭底下	jit6<s>tau4<s>dai2<s>haa6
腰骨	jiu1<s>gwat1
腰骨痛	jiu1<s>gwat1<s>tung3
要挾	jiu1<s>hip3
要約	jiu1<s>joek3
要譽	jiu1<s>jyu6
要求	jiu1<s>kau4
要盟	jiu1<s>mang4
腰脢	jiu1<s>mui4
腰痛	jiu1<s>tung3
腰脹	jiu1<s>zoeng3
要隘	jiu3<s>aai3
要齊	jiu3<s>cai4
要錢	jiu3<s>cin4
要衝	jiu3<s>cung1
要點	jiu3<s>dim2
要道	jiu3<s>du6
要端	jiu3<s>dyun1
要犯	jiu3<s>faan6
要飯	jiu3<s>faan6
要緊	jiu3<s>gan2
要件	jiu3<s>gin6
要害	jiu3<s>hoi6
要好	jiu3<s>hu2
要人	jiu3<s>jan4
要言不煩	jiu3<s>jin4<s>bat1<s>faan4
要強	jiu3<s>koeng4
要訣	jiu3<s>kyut3
要領	jiu3<s>ling5
要略	jiu3<s>loek6
要唔然	jiu3<s>m4<s>jin4
要唔是	jiu3<s>m4<s>si6
要命	jiu3<s>meng6
要冇係	jiu3<s>mu5<s>hai6
要冇然	jiu3<s>mu5<s>jin4
要冇是	jiu3<s>mu5<s>si6
要是	jiu3<s>si6
要哂	jiu3<s>slaai3
要死	jiu3<s>sli2
要素	jiu3<s>slu3
要塞	jiu3<s>soi3
要之	jiu3<s>zi1
要旨	jiu3<s>zi2
要職	jiu3<s>zik1
瑤柱	jiu4<s>cyu5
搖頭	jiu4<s>tau4
搖頭擺腦	jiu4<s>tau4<s>baai2<s>nu5
約分	joek3<s>fan1
約摸	joek3<s>mok3
約莫	joek3<s>mok3
藥罌	joek6<s>aang1
弱不禁風	joek6<s>bat1<s>kam1<s>fung1
藥煲	joek6<s>bu1
藥材鋪	joek6<s>coi4<s>pu3
藥店	joek6<s>dim3
藥粉	joek6<s>fan2
藥膏	joek6<s>gu1
弱冠	joek6<s>gun3
藥引	joek6<s>jan5
藥粒	joek6<s>nap1
藥鋪	joek6<s>pu3
鑰匙	joek6<s>si4
瘧疾	joek6<s>zat6
洋鏟	joeng4<s>cen2
洋瓷碗	joeng4<s>ci4<s>wun2
揚長避短	joeng4<s>coeng4<s>bi6<s>dyun2
洋蔥	joeng4<s>cung1
洋蔥頭	joeng4<s>cung1<s>tau4
羊吊	joeng4<s>diu3
揚花	joeng4<s>faa1
陽溝	joeng4<s>gau1
羊角菜	joeng4<s>gok3<s>coi3
羊角糉	joeng4<s>gok3<s>zung3
羊公	joeng4<s>gung1
陽卦	joeng4<s>gwaa3
羊圈	joeng4<s>gyun3
陽去調	joeng4<s>hyu3<s>diu6
陽入調	joeng4<s>jap6<s>diu6
羊欄	joeng4<s>laan1
洋樓	joeng4<s>lau4
楊柳	joeng4<s>lau5
陽曆	joeng4<s>lik6
羊毛痧	joeng4<s>mu4<s>saa1
楊梅	joeng4<s>mui4
羊乸	joeng4<s>naa2
陽平調	joeng4<s>ping4<s>diu6
羊騷	joeng4<s>slu1
陽上調	joeng4<s>soeng5<s>diu6
洋鼠	joeng4<s>syu2
楊樹	joeng4<s>syu6
洋鐵佬	joeng4<s>tit3<s>lu2
陽臺	joeng4<s>toi4
楊桃	joeng4<s>tu4
羊仔	joeng4<s>zai2
羊崽	joeng4<s>zai2
養料	joeng5<s>liu2
養仔	joeng5<s>zai2
養崽	joeng5<s>zai2
養尊處優	joeng5<s>zyun1<s>cyu5<s>jau1
銳不可當	jui6<s>bat1<s>ho2<s>dong1
逳唅唅	juk1<s>ham4<s>ham4
逳棋	juk1<s>ki4
逳來逳去	juk1<s>lai4<s>juk1<s>hyu3
肉毛支	juk1<s>mu4<s>zi1
逳手	juk1<s>sau2
逳喳喳	juk1<s>zaa4<s>zaa4
玉軛	juk6<s>aak3
肉餅	juk6<s>beng2
肉刺	juk6<s>cek3
肉菜	juk6<s>coi3
肉店	juk6<s>dim3
肉丁	juk6<s>ding1
肉粉	juk6<s>fan2
肉芥菜	juk6<s>gaai3<s>coi3
肉丸	juk6<s>jyun4
欲擒故縱	juk6<s>kam4<s>gu3<s>zung6
玉蘭	juk6<s>laan4
玉蘭片	juk6<s>laan4<s>pin3
玉林布	juk6<s>lam4<s>bu3
肉冇腍	juk6<s>mu5<s>nam4
肉戁	juk6<s>nan1
肉皮	juk6<s>pi4
肉片	juk6<s>pin3
肉脯	juk6<s>pu2
玉石	juk6<s>sek6
肉色	juk6<s>sik1
玉勝	juk6<s>sing3
肉碎	juk6<s>slui3
肉鬆	juk6<s>slung1
肉酸	juk6<s>slyun1
肉蒜	juk6<s>slyun3
肉攤	juk6<s>taan1
肉汁	juk6<s>zap1
肉蔗	juk6<s>ze3
褥子	juk6<s>zi2
肉粥	juk6<s>zuk1
壅閉	jung1<s>bai3
壅蔽	jung1<s>bi6
邕劇	jung1<s>kek6
邕寧縣	jung1<s>ning4<s>jyun2
壅塞	jung1<s>slak1
壅滯	jung1<s>zai6
絨鞋	jung2<s>haai4
絨褸	jung2<s>lau1
絨帽	jung2<s>mu6
佣銀	jung2<s>ngan4
絨衫	jung2<s>saam1
容不易	jung4<s>bat1<s>ji6
溶癟癟	jung4<s>bet6<s>bet6
溶癟列	jung4<s>bet6<s>let6
溶癟截	jung4<s>bet6<s>zet6
溶胹胹	jung4<s>jaai4<s>jaai4
容易	jung4<s>ji6
熊貓	jung4<s>meu1
榕樹	jung4<s>syu6
勇冠三軍	jung5<s>gun3<s>slaam1<s>gwan1
用處	jung6<s>cyu3
用料	jung6<s>liu2
淤血	jyu2<s>hyut3
噢咻	jyu2<s>jau1
魚泡	jyu4<s>bok1
魚翅	jyu4<s>ci3
予取予求	jyu4<s>cyu2<s>jyu4<s>kau4
魚蛋	jyu4<s>daan6
魚鰈子	jyu4<s>dep1<s>zi2
魚鰈痣	jyu4<s>dep1<s>zi3
魚花	jyu4<s>faa1
于飛	jyu4<s>fi1
魚乾	jyu4<s>gon1
于歸	jyu4<s>gwai1
魚骨	jyu4<s>gwat1
予一人	jyu4<s>jat1<s>jan4
魚鷹	jyu4<s>jing1
魚肉	jyu4<s>juk6
餘勇可賈	jyu4<s>jung5<s>ho2<s>gu2
魚丸	jyu4<s>jyun4
魚鰭	jyu4<s>ki4
魚鱗	jyu4<s>lan4
魚鱗雲	jyu4<s>lan4<s>wan4
娛樂圈	jyu4<s>lok6<s>hyun1
愚氓	jyu4<s>man4
魚網	jyu4<s>mong5
魚腩	jyu4<s>naam5
魚鉤	jyu4<s>ngau1
魚生	jyu4<s>saang1
予聖	jyu4<s>sing3
魚腮	jyu4<s>sloi1
魚頭	jyu4<s>tau4
于闐	jyu4<s>tin4
魚肚	jyu4<s>tu5
魚雲	jyu4<s>wan4
魚滑滑	jyu4<s>wet1<s>wet1
魚子	jyu4<s>zi2
予智	jyu4<s>zi3
雨晴啊	jyu5<s>cing4<s>aa3
雨衣	jyu5<s>ji1
語焉不詳	jyu5<s>jin4<s>bat1<s>coeng4
雨褸	jyu5<s>lau1
語文	jyu5<s>man4
羽毛球	jyu5<s>mu4<s>kau4
雨帽	jyu5<s>mu6
雨粒	jyu5<s>nap1
雨披	jyu5<s>pi1
雨撇	jyu5<s>pit3
羽扇綸巾	jyu5<s>sin3<s>gwaan1<s>gan1
雨水	jyu5<s>sui2
雨停啊	jyu5<s>ting4<s>aa3
雨停哂	jyu5<s>ting4<s>slaai3
乳豬	jyu5<s>zyu1
預料	jyu6<s>liu6
玉米	jyu6<s>mai5
玉米花	jyu6<s>mai5<s>faa1
玉米粉	jyu6<s>mai5<s>fan2
玉米梗	jyu6<s>mai5<s>gwaang2
玉米粒	jyu6<s>mai5<s>nap1
玉米頭	jyu6<s>mai5<s>tau4
玉米粥	jyu6<s>mai5<s>zuk1
遇難	jyu6<s>naan6
鵷鶵	jyun1<s>cyu4
鵷𩿿	jyun1<s>cyu4
身毒	jyun1<s>duk1
冤家	jyun1<s>gaa1
鴛鴦	jyun1<s>joeng1
㾓痛	jyun1<s>tung3
冤屈	jyun1<s>wat1
冤枉	jyun1<s>wong2
院子	jyun2<s>zi2
鉛筆	jyun4<s>bat1
鉛筆鑽	jyun4<s>bat1<s>zyun3
元寶	jyun4<s>bu2
元朝	jyun4<s>ciu4
元旦	jyun4<s>daan3
圓𧽼𧽼	jyun4<s>dam4<s>dam4
圓𧽼陀	jyun4<s>dam4<s>doe4
圓凳	jyun4<s>dang3
圓粉	jyun4<s>fan2
原告	jyun4<s>gu3
圓圈	jyun4<s>hyun1
圓肉	jyun4<s>juk6
圓規	jyun4<s>kwai1
圓領	jyun4<s>leng5
圓溜	jyun4<s>liu1
原料	jyun4<s>liu2
圓螺螺	jyun4<s>lo1<s>lo1
圓刨	jyun4<s>peu4
元宵	jyun4<s>sliu1
圓蹄	jyun4<s>tai4
圓陀螺	jyun4<s>to1<s>lo1
圓檯	jyun4<s>toi4
圓鑿	jyun4<s>zok6
軟尺	jyun5<s>cek3
軟膏	jyun5<s>gu1
軟殼蛋	jyun5<s>hok3<s>daan6
軟磨硬泡	jyun5<s>mo4<s>ngaang6<s>paau3
遠視	jyun5<s>si6
軟熟	jyun5<s>suk6
媛德	jyun6<s>dak1
媛女	jyun6<s>nyu5
月白	jyut6<s>baak6
月餅	jyut6<s>beng2
月初	jyut6<s>co1
月大	jyut6<s>daai6
月底	jyut6<s>dai2
月頭	jyut6<s>dau4
月光	jyut6<s>gong1
月光戴箍	jyut6<s>gong1<s>daai3<s>ku1
月光底下	jyut6<s>gong1<s>dai2<s>haa6
月季花	jyut6<s>gwai3<s>faa1
粵劇	jyut6<s>kek6
粵曲	jyut6<s>kuk1
月尾	jyut6<s>mi5
月沒參橫	jyut6<s>mut6<s>sam1<s>waang4
月蝕	jyut6<s>sik6
月細	jyut6<s>slai3
月相	jyut6<s>sloeng3
月暈	jyut6<s>wan6
月氏	jyut6<s>zi1
月中	jyut6<s>zung1
喀吧	kaa1<s>baa1
喀嚓	kaa1<s>caat3
卡車	kaa1<s>ce1
喀噠	kaa1<s>daat6
咖啡	kaa1<s>fi1
咖啡因	kaa1<s>fi1<s>jan1
咖啡色	kaa1<s>fi1<s>sik1
咔嘰	kaa1<s>gi1
卡拉OK	kaa1<s>laa1<s>OK
卡佬	kaa1<s>lu2
架牀	kaa3<s>cong4
假日	kaa3<s>jat6
假期	kaa3<s>ki4
旮旯	kaa3<s>laa3
楷模	kaai2<s>mo1
楷式	kaai2<s>sik1
楷則	kaai2<s>zak1
咯血	kaak3<s>hyut3
咯魚翅	kaak3<s>jyu4<s>ci3
咯痰	kaak3<s>taam4
靠背	kaau3<s>bui3
稽核	kai1<s>hat6
蹊蹺	kai1<s>kiu2
契弟	kai3<s>dai6
契爺	kai3<s>je4
契媽	kai3<s>maa1
契女	kai3<s>nyu2
契仔	kai3<s>zai2
契崽	kai3<s>zai2
禁穿	kam1<s>cyun1
禁熱	kam1<s>jit6
禁冷	kam1<s>laang5
禁磨	kam1<s>mo4
禁捱	kam1<s>ngaai4
禁使	kam1<s>sai2
禁受	kam1<s>sau6
襟章	kam1<s>zoeng1
𠖫	kam2
扻一巴掌	kam2<s>aa1<s>baa1<s>zoeng2
冚瓦	kam2<s>ngaa5
𠖫瓦	kam2<s>ngaa5
冚被	kam2<s>pi5
𠖫被	kam2<s>pi5
擒青	kam4<s>ceng1
擒拐	kam4<s>gwaai2
擒擓	kam4<s>kwaai5
蠄瘸	kam4<s>kwe4
蠄蟝	kam4<s>kyu4
蠄螺	kam4<s>lo4
琴晚	kam4<s>maan5
琴日	kam4<s>mat6
芹菜	kan4<s>coi3
哽頸	kang2<s>geng2
哽着	kang2<s>zoek6
䆟斗	kap1<s>dau2
䆟被	kap1<s>pi5
䆟章	kap1<s>zoeng1
咳鉗鉗	kat1<s>kem4<s>kem4
摳起身	kau1<s>hi2<s>san1
扣肉	kau3<s>juk6
扣紐	kau3<s>nau2
叩頭	kau3<s>tau4
釦針	kau3<s>zam1
求籤	kau4<s>cim1
求福	kau4<s>fuk1
求求其其	kau4<s>kau4<s>ki4<s>ki4
求其	kau4<s>ki4
舅父	kau5<s>fu2
舅父外甥	kau5<s>fu2<s>ngoi6<s>saang1
舅仔	kau5<s>zai2
舅崽	kau5<s>zai2
茄汁	ke2<s>zap1
騎車	ke4<s>ce1
騎牆	ke4<s>coeng4
騎牆派	ke4<s>coeng4<s>paai3
騎單車	ke4<s>daan1<s>ce1
騎虎難下	ke4<s>fu2<s>naan4<s>haa6
騎縫	ke4<s>fung6
騎縫蓋章	ke4<s>fung6<s>goi3<s>zoeng1
騎縫印	ke4<s>fung6<s>jan3
騎縫章	ke4<s>fung6<s>zoeng1
茄瓜	ke4<s>gwaa1
茄瓜色	ke4<s>gwaa1<s>sik1
伽藍	ke4<s>laam4
騎樓	ke4<s>lau4
奇離柺	ke4<s>le4<s>gwaai2
騎馬	ke4<s>maa5
騎摩托	ke4<s>mo1<s>tok3
伽南香	ke4<s>naam4<s>hoeng1
劇種	kek6<s>zung2
鉗菜	kem4<s>coi3
鉗工	kem4<s>gung1
魽魚	kem5<s>jyu4
翹手	keu1<s>sau2
翹住手	keu1<s>zyu6<s>sau2
翹翹	keu4<s>keu1
翹哂	keu4<s>slaai3
崎嶇	ki1<s>kyu1
崎嶇不平	ki1<s>kyu1<s>bat1<s>ping4
亟請	ki3<s>cing2
亟經	ki3<s>ging1
旗幢	ki4<s>cong4
祇悔	ki4<s>fui2
旗鼓相當	ki4<s>gu2<s>sloeng1<s>dong1
奇觀	ki4<s>gun1
期考	ki4<s>haau2
其覺	ki4<s>kok3
旗袍	ki4<s>pu4
棋盤	ki4<s>pun4
徛獨獨	ki5<s>duk6<s>duk6
徛理	ki5<s>li5
徛蹬蹬	ki5<s>ngang6<s>ngang6
徛住	ki5<s>zyu6
𠽤嚦硞嘞	kik1<s>lik1<s>kwak1<s>lak1
乾道	kin4<s>du6
乾斷	kin4<s>dyun3
乾顧	kin4<s>gu3
乾曜	kin4<s>jiu6
乾元	kin4<s>jyun4
乾坤	kin4<s>kwan1
乾隆	kin4<s>lung4
乾宅	kin4<s>zaak6
乾造	kin4<s>zu6
傾大聖	king1<s>daai6<s>sing3
傾價	king1<s>gaa3
傾偈	king1<s>gai2
傾鈴哐啷	king1<s>ling1<s>kwaang1<s>laang1
傾生意	king1<s>saang1<s>ji3
澄灰水	king4<s>fui1<s>sui2
詰問	kit3<s>man6
詰難	kit3<s>naan6
詰責	kit3<s>zaak3
翹班	kiu4<s>baan1
翹楚	kiu4<s>co2
翹翹板	kiu4<s>kiu4<s>baan2
翹望	kiu4<s>mong6
翹首	kiu4<s>sau2
翹首以待	kiu4<s>sau2<s>ji5<s>doi6
翹首企望	kiu4<s>sau2<s>ki5<s>mong6
翹舌	kiu4<s>sit6
翹舌音	kiu4<s>sit6<s>jam1
翹足	kiu4<s>zuk1
蝌蚪	ko1<s>dau2
課本	ko3<s>bun2
閜背	ko4<s>bui3
閜腰	ko4<s>jiu1
閜寥翹	ko4<s>leu1<s>keu1
閜住腳	ko4<s>zyu6<s>goek3
強暴	koeng4<s>bu6
強本節用	koeng4<s>bun2<s>zit3<s>jung6
強大	koeng4<s>daai6
強調	koeng4<s>diu6
強度	koeng4<s>du6
強渡	koeng4<s>du6
強盜	koeng4<s>du6
強化	koeng4<s>faa3
強健	koeng4<s>gin6
強勁	koeng4<s>ging6
強固	koeng4<s>gu3
強攻	koeng4<s>gung1
強行	koeng4<s>hang4
強悍	koeng4<s>hon6
強項	koeng4<s>hong6
強人	koeng4<s>jan4
強權	koeng4<s>kyun4
強烈	koeng4<s>lit6
強梁	koeng4<s>loeng4
強龍不壓地頭蛇	koeng4<s>lung4<s>bat1<s>aat3<s>di6<s>tau4<s>se4
強硬	koeng4<s>ngaang6
強弩之末	koeng4<s>nu5<s>zi1<s>mut6
強勢	koeng4<s>sai3
強盛	koeng4<s>sing6
強心針	koeng4<s>slam1<s>zam1
強者	koeng4<s>ze2
強直	koeng4<s>zik6
強佔	koeng4<s>zim3
強壯	koeng4<s>zong3
強辯	koeng5<s>bin6
強出頭	koeng5<s>cyut1<s>tau4
強諫	koeng5<s>gaan3
強人所難	koeng5<s>jan4<s>slo2<s>naan4
強求	koeng5<s>kau4
強顏歡笑	koeng5<s>ngaan4<s>fun1<s>sliu3
強使	koeng5<s>sai2
概要	koi3<s>jiu3
噱噱	kok1<s>kok1
霍亂	kok3<s>lyun6
確實	kok3<s>sat6
硞頭	kok3<s>tau4
炕床	kong3<s>cong4
炕牀	kong3<s>cong4
礦藏	kong3<s>cong4
炕几	kong3<s>gi1
炕頭	kong3<s>tau4
炕枕	kong3<s>zam2
炕桌	kong3<s>zoek3
扛鋤頭	kong4<s>co4<s>tau4
扛凳	kong4<s>dang3
狂風	kong4<s>fung1
狂風怒號	kong4<s>fung1<s>nu6<s>hu4
窮鬼	kong4<s>gwai2
骷髏	ku1<s>lu1
骷髏頭	ku1<s>lu1<s>tau4
箍桶	ku1<s>tung2
曲尺	kuk1<s>cek3
曲調	kuk1<s>diu6
曲肱而枕	kuk1<s>gwang1<s>ji4<s>zam3
硞硞	kuk1<s>kuk1
窮兇極惡	kung4<s>hung1<s>gik6<s>ok3
胯骨	kwaa1<s>gwat1
霍炩	kwaak3<s>ling6
規矩	kwai1<s>gyu2
虧空	kwai1<s>hung1
虧難	kwai1<s>naan4
虧蝕	kwai1<s>sik6
虧折	kwai1<s>sit6
傀儡	kwai2<s>lui5
傀儡皇帝	kwai2<s>lui5<s>wong4<s>dai3
傀儡政權	kwai2<s>lui5<s>zing3<s>kyun4
葵花	kwai4<s>faa1
奎龍魚	kwai4<s>lung4<s>jyu4
葵扇	kwai4<s>sin3
钁地	kwak1<s>di6
搉火柴	kwak1<s>fo2<s>caai4
钁頭	kwak1<s>tau4
均勻	kwan1<s>wan4
緄邊	kwan2<s>bin1
困難	kwan3<s>naan4
𧊅	kwe2
擓豆	kwe3<s>dau6
區分	kyu1<s>fan1
祛風	kyu1<s>fung1
拘泥	kyu1<s>ni6
渠坑	kyu4<s>haang1
佢哋	kyu5<s>di6
佢哋兩個	kyu5<s>di6<s>loeng5<s>go3
拳槌	kyun4<s>cui4
拳槌包剪䂿	kyun4<s>cui4<s>baau1<s>zin2<s>dap6
顴骨	kyun4<s>gwat1
拳頭	kyun4<s>tau4
缺德	kyut3<s>dak1
缺少	kyut3<s>siu2
喇叭	laa1<s>baa1
喇叭花	laa1<s>baa1<s>faa1
喇叭褲	laa1<s>baa1<s>fu3
剌利	laa2<s>li6
喇嘛	laa2<s>maa1
啦啦聲	laa4<s>laa2<s>seng1
啦啦臨	laa4<s>laa4<s>lam4
拉燈	laai1<s>dang1
拉檔	laai1<s>dong3
拉客	laai1<s>haak3
拉纜	laai1<s>laam6
拉麪	laai1<s>min6
拉木車	laai1<s>muk6<s>ce1
拉生意	laai1<s>saang1<s>ji3
癩病	laai3<s>beng6
癩瘡	laai3<s>cong1
癩蛤蟆	laai3<s>haa4<s>maa4
癩皮狗	laai3<s>pi4<s>gau2
癩鬚	laai3<s>slu1
癩渣	laai3<s>zaa1
攋屎	laai5<s>si2
賴菢雞	laai6<s>bu6<s>gai1
賴菢雞乸	laai6<s>bu6<s>gai1<s>naa2
賴臭	laai6<s>cau3
攋哭	laai6<s>huk1
攋尿蝦	laai6<s>niu6<s>haa1
攋尿𧊅	laai6<s>niu6<s>kwe2
嘞咑	laak1<s>daak1
肋脦	laak1<s>daak1
肋旯	laak3<s>le1
欖角	laam2<s>gok3
欖仁	laam2<s>jan4
欖核	laam2<s>wat6
攬住	laam2<s>zyu6
藍刀魚	laam4<s>du1<s>jyu4
藍黑	laam4<s>hak1
藍黚黚	laam4<s>kam4<s>kam4
籃球	laam4<s>kau4
襤褸	laam4<s>lyu5
檻車	laam6<s>ce1
檻送	laam6<s>slung3
蘭豆	laan1<s>dau6
蘭豆苗	laan1<s>dau6<s>miu4
蘭公	laan1<s>gung1
蘭女	laan1<s>nyu2
蘭婆	laan1<s>po4
蘭花	laan4<s>faa1
欄杆	laan4<s>gon2
懶得	laan5<s>dak1
懶刮	laan5<s>gwet3
懶叻	laan5<s>lek1
懶理	laan5<s>li5
懶散	laan5<s>slaan2
爛湴	laan6<s>baan6
爛湴田	laan6<s>baan6<s>tin4
爛飯	laan6<s>faan6
爛口爛舌	laan6<s>hau2<s>laan6<s>sit6
濫哭	laan6<s>huk1
爛哭	laan6<s>huk1
濫飲	laan6<s>jam2
爛飲	laan6<s>jam2
爛麻包	laan6<s>maa4<s>beu1
爛市	laan6<s>si5
濫食	laan6<s>sik6
爛食	laan6<s>sik6
濫笑	laan6<s>sliu3
爛笑	laan6<s>sliu3
濫睡	laan6<s>sui6
爛睡	laan6<s>sui6
爛頭飯	laan6<s>tau4<s>faan6
爛頭粥	laan6<s>tau4<s>zuk1
爛仔	laan6<s>zai2
爛崽	laan6<s>zai2
爛仔頭	laan6<s>zai2<s>tau4
爛崽頭	laan6<s>zai2<s>tau4
爛賤	laan6<s>zin6
